Cust_ID,Buy_product,Name,Newsletter_Subscription,Year_Birth,Membership,Preferred_Game_Genre,FidelityPoints,S1_GameplayExperience,S2_GameMechanics,S3_GameBalance,S4_GameLength,S5_MaterialQuality,S6_ValueForPrice,S7_Artwork_Design,S8_ThemeIntegration,S9_PlayerIteration,S10_LevelAdjust,S11_RuleClarity,S12_StrategicThinking,S13_ReplayValue,S14_Recommendation
1,0,Ms. Nicole Clarke,yes,1974.0,Premium,Strategy,4907,3,4,1,4,4,3,4,3,3,3,3,4,3,4
2,1,Mr. Jesse Scott,yes,1965.0,Premium,Strategy,6724,1,1,1,1,5,3,4,5,5,5,5,1,5,2
3,0,Mr. Christopher Carter,yes,1973.0,Premium,Strategy,4365,3,3,3,3,1,4,4,3,3,2,3,2,3,1
4,1,Ms. Jennifer Morgan,yes,1993.0,Non-Premium,Party,3849,1,1,1,1,4,4,5,4,4,4,4,4,4,3
5,1,Mr. Michael White,yes,1989.0,Premium,Strategy,5376,2,2,3,2,5,5,5,5,5,3,4,1,3,5
6,0,Ms. Morgan Briggs,yes,1975.0,Premium,Party,5342,2,2,5,5,3,2,2,2,2,2,2,4,2,1
7,0,Ms. Kellie Alvarez,no,1990.0,Premium,Party,4909,2,2,2,3,2,2,2,2,1,1,2,2,3,2
8,0,Mr. Jorge Brown,yes,1976.0,Premium,Strategy,4037,2,3,3,3,2,4,4,2,2,3,2,1,2,2
9,0,Mr. Jesus Soto,yes,1974.0,Premium,Strategy,3694,2,3,3,3,2,2,2,2,2,1,2,2,2,1
10,0,Mr. Anthony Young,yes,1994.0,Premium,Strategy,3475,3,5,5,5,3,3,3,3,4,3,4,1,4,3
11,1,Mr. Patrick Garza,yes,1960.0,Non-Premium,Party,5059,4,3,4,2,1,4,1,1,2,4,3,5,2,1
12,0,Ms. Jill Bowman,no,1995.0,Premium,Party,5360,2,2,2,4,4,2,3,4,2,4,4,3,3,4
13,1,Ms. Kelly Newman,no,1977.0,Premium,Strategy,5853,5,5,5,4,3,5,3,3,3,5,5,4,4,3
14,1,Mr. Danny Frazier,yes,1981.0,Premium,Strategy,5164,2,2,2,2,3,5,5,5,5,5,5,4,5,3
15,1,Mr. Ralph Johnson,yes,1994.0,Non-Premium,Party,5858,5,5,5,5,3,5,3,3,5,2,5,3,4,3
16,1,Mr. Sean Hendricks,yes,1969.0,Premium,Strategy,6571,4,4,4,4,4,2,1,3,3,3,3,1,3,5
